date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:03:02	15382/15382	---M--	200	added ('OK')	image/png	etag:t0wTeYgapJmU6xwNmFcceHSQBm+4mCQDisuW+wmDEbo=	https://gardenchicperu.com/_next/image?url=%2Ficons%2Fpng%2FIconRiegoTexnificado.png&w=3840&q=75	C:/Users/SICHA/Downloads/jardin/gardenchicperu.com/_next/IconRiegoTexnificado278f.png	(from https://gardenchicperu.com/)
00:03:02	17495/17495	---M--	200	added ('OK')	image/png	etag:fZTskC5fdssTBWYU+9X6T4JTsihLD-oKYV1n5+UL5+0=	https://gardenchicperu.com/_next/image?url=%2Ficons%2Fpng%2FIconTechosVerdes.png&w=3840&q=75	C:/Users/SICHA/Downloads/jardin/gardenchicperu.com/_next/IconTechosVerdes1b8f.png	(from https://gardenchicperu.com/)
00:03:03	66870/66870	---M--	200	added ('OK')	image/png	etag:lPdUEthS-nt8uXTMzlAWKbMYrE1yfJd868KoHasOj5I=	https://gardenchicperu.com/_next/image?url=%2Fimgs%2FcarrouselNuestrosClientes%2Fpng%2Fdecameron.png&w=3840&q=75	C:/Users/SICHA/Downloads/jardin/gardenchicperu.com/_next/decameron0051.png	(from https://gardenchicperu.com/)
00:03:03	43220/43220	---M--	200	added ('OK')	image/png	etag:m-LGZjMruDS4soxN4UTE+xEVk3K+QxrKRTyRtctDDJ4=	https://gardenchicperu.com/_next/image?url=%2Fimgs%2FcarrouselNuestrosClientes%2Fpng%2FAy.png&w=3840&q=75	C:/Users/SICHA/Downloads/jardin/gardenchicperu.com/_next/Ay4e40.png	(from https://gardenchicperu.com/)
00:03:04	55990/55990	---M--	200	added ('OK')	image/png	etag:0IZHnAO6AW0277ZtLTfocnRg8UE6NIHncoEn7Q9rViU=	https://gardenchicperu.com/_next/image?url=%2Fimgs%2FcarrouselNuestrosClientes%2Fpng%2FBACKUS.png&w=3840&q=75	C:/Users/SICHA/Downloads/jardin/gardenchicperu.com/_next/BACKUS6db2.png	(from https://gardenchicperu.com/)
00:03:04	42759/42759	---M--	200	added ('OK')	image/png	etag:vMrzUtt+wHRWuERm3difWHc5hroXj6TEOeSZf7BibgE=	https://gardenchicperu.com/_next/image?url=%2Fimgs%2FcarrouselNuestrosClientes%2Fpng%2FENGIE.png&w=3840&q=75	C:/Users/SICHA/Downloads/jardin/gardenchicperu.com/_next/ENGIE7f96.png	(from https://gardenchicperu.com/)
00:03:04	91637/91637	---M--	200	added ('OK')	image/png	etag:CjhI2ApgY4AJ5KgYAHekC+xTSxwIcJF7UReUjXx5QRk=	https://gardenchicperu.com/_next/image?url=%2Fimgs%2FcarrouselNuestrosClientes%2Fpng%2FBRITANICO.png&w=3840&q=75	C:/Users/SICHA/Downloads/jardin/gardenchicperu.com/_next/BRITANICOf06e.png	(from https://gardenchicperu.com/)
00:03:05	54259/54259	---M--	200	added ('OK')	image/png	etag:z-DbGEFp1GNMiWp38pv+RYVd2zkJnsiV2WzYyLp4c0U=	https://gardenchicperu.com/_next/image?url=%2Fimgs%2FcarrouselNuestrosClientes%2Fpng%2FLEGADO.png&w=3840&q=75	C:/Users/SICHA/Downloads/jardin/gardenchicperu.com/_next/LEGADO1559.png	(from https://gardenchicperu.com/)
00:03:05	29859/29859	---M--	200	added ('OK')	image/png	etag:h9ExQmQpWvtm8S8OZmezeuNxwvnyXiNPC9di9fjmAxY=	https://gardenchicperu.com/_next/image?url=%2Fimgs%2FcarrouselNuestrosClientes%2Fpng%2FMEGALABS.png&w=3840&q=75	C:/Users/SICHA/Downloads/jardin/gardenchicperu.com/_next/MEGALABSf6ae.png	(from https://gardenchicperu.com/)
00:03:05	9698/9698	---M--	200	added ('OK')	image/png	etag:Am-ZJj4-2NE7s9hJN5L4dmf6ak1XwAvzHHqLCpIXtKA=	https://gardenchicperu.com/_next/image?url=%2Fimgs%2FcarrouselNuestrosClientes%2Fpng%2FPIONERO.png&w=3840&q=75	C:/Users/SICHA/Downloads/jardin/gardenchicperu.com/_next/PIONERO36d5.png	(from https://gardenchicperu.com/)
00:03:05	163772/163772	---M--	200	added ('OK')	image/png	etag:T2Oyasv4aKYEpoVAuBO-uIr6vgB6xRXPD4g7VJE+zKw=	https://gardenchicperu.com/_next/image?url=%2Fimgs%2FcarrouselNuestrosClientes%2Fpng%2FEXALMAR.png&w=3840&q=75	C:/Users/SICHA/Downloads/jardin/gardenchicperu.com/_next/EXALMARe62a.png	(from https://gardenchicperu.com/)
00:03:06	37590/37590	---M--	200	added ('OK')	image/png	etag:DyAV7GbvTvLUTcHJft7qgr6OwLjrxR1Rmxohk4jq6c4=	https://gardenchicperu.com/_next/image?url=%2Fimgs%2FcarrouselNuestrosClientes%2Fpng%2FSOLE.png&w=3840&q=75	C:/Users/SICHA/Downloads/jardin/gardenchicperu.com/_next/SOLEd028.png	(from https://gardenchicperu.com/)
00:03:07	40688/40688	---M--	200	added ('OK')	image/png	etag:Z1hDyGDrw8z7lLNsux7+eQNTv6hMK+6YZbvhogXBiX8=	https://gardenchicperu.com/_next/image?url=%2Fimgs%2FcarrouselNuestrosClientes%2Fpng%2FVyV.png&w=3840&q=75	C:/Users/SICHA/Downloads/jardin/gardenchicperu.com/_next/VyV9dec.png	(from https://gardenchicperu.com/)
